tweet_text,gold,pred,explanation
"Yall remember when it was trendy to do that kool aid dip dye hair and all the popular girls in middle/early high school did it and would post shit like ""yeah I dye my hair crazy colors, I'm me and I'm not sorry "" meanwhile the actual scene kids were being bullied",age,other_cyberbullying,"The tweet expresses a negative sentiment towards a group of people who posted about their hair dye, implying they were fake or attention-seeking, without directly targeting a protected trait."
Facts by a fellow Unionist. The “Magic Negro” was taken from an article from a Black reporter from the LA Times who called Obama that because of phenomenal white support,ethnicity,other_cyberbullying,"The tweet references a derogatory term and implies that a Black reporter used it to describe Obama, which is a form of racial stereotyping and harassment."
"Yep, that's the case for several girls I met or know. Some go the other way and consciously copy everything they can to be the ""best"" at high-status hyper-femininity things so they become too cool to be bullied. Almost become a trend setter so people copy them instead.",age,gender,"The tweet implies that women who exhibit 'high-status hyper-femininity' are doing so to avoid being bullied, which can be seen as a negative stereotype and criticism of women's behavior."
Dumb T- fine We gon call ha ugly so he put his head up nd like 10 mins later dis bitch sees him U- omg tt us that youu Nd I turned nd I didn't know what his ex looked like nd ion care if he has female friends T- hi Casey M- whose this babes U- Casey his ex M- hi.,gender,other_cyberbullying,"The tweet contains derogatory language and insults, but they are not specifically targeting a protected trait such as religion, age, gender, or ethnicity."
"I don’t think I ever heard the term “gamer girl” until after high school either, so I was never bullied for that as a teen",age,not_cyberbullying,"The tweet is a neutral, personal reflection about the author's experience and does not contain any bullying or harassment."
"No one ever writes a book called ""Men, Stop Being an Asshole in Relationships"" or ""She Just Wants to Be Treated Like a Human Being for Once""",not_cyberbullying,gender,The tweet uses a derogatory phrase to criticize men and implies they are inherently problematic in relationships.
"Freedom of speech does not mean it's okay to joke about rape, use derogatory terms and talk about killing gay peeps. https://twitter.com/lilcuteybunny/status/630200717957967876",gender,other_cyberbullying,The tweet expresses strong disapproval and outrage towards derogatory language and hate speech targeting the LGBTQ+ community.
“not all muslims are from islam you idiot” i love her i rlly do,religion,other_cyberbullying,"The tweet contains a derogatory term and insult, but it is not specifically targeting a protected trait such as religion, age, gender, or ethnicity; rather, it is a general insult."
@terryocarroll but i've seen tank girl. :P,other_cyberbullying,not_cyberbullying,"The tweet is a lighthearted and playful response to someone else's comment, without any intent to harm or insult."
"@MaDaSaHaTtEr_17 @buttercupashby Another lie about the ""few bad seed"" All the polls show Muslim extremism. http://t.co/XIHmeTALon",religion,ethnicity,"The tweet targets Muslims with a negative stereotype, implying they are prone to extremism."
christian girls posting “be kind” on their stories are the ones who bullied me in high school,age,other_cyberbullying,"The tweet accuses a specific group of bullying the author in the past, with a medium level of intensity and a harmful intent."
@alphadogg__ E depois você sofreria bullying facilmente também... Põe alphadog :),not_cyberbullying,other_cyberbullying,"The tweet contains a sarcastic comment implying that the person is weak and would easily suffer bullying, but it does not target a specific protected trait."
"muslim people embarrass me. you idiots use this “what about the middle east” buIIshit everytime blm is bought up, as if somalia was not one of the hardest hit countries due to bombing. don’t use the struggles of middle eastern people to hid the fact that you are RACIST.",religion,other_cyberbullying,"The tweet uses derogatory language and insults to attack Muslims, accusing them of being racist and hiding behind the struggles of Middle Eastern people."
Why do people think that being Muslim is a race? Lmaoo you guys are idiots,religion,other_cyberbullying,"The tweet contains a derogatory term and mocking language, indicating a high level of harm, but it is not specifically targeting a protected trait such as religion, age, gender, or ethnicity."
"Honestly really happy that I still enjoy the Mighty Boosh as much if not more than I did as a teenager. It's good when things hold up. Shame about the blackface though. And the gay jokes. And the trans jokes. And the rape jokes. And them using the word ""retard"". Ahhh, the 2000s.",gender,other_cyberbullying,"The tweet criticizes the Mighty Boosh for its outdated and offensive content, but does not target a specific group or individual."
the gay superhero shit and the rape hero had me weak. Like how nigga even come up with these jokes,gender,other_cyberbullying,"The tweet expresses strong disapproval and disgust towards the content of the jokes, using derogatory language, but does not target a specific protected trait or group."
"Fuck you, fuck you very very mu~ch, Lily Allen. Your latest video is racist and awful and does nothing to promote ""feminism."" Christ.",not_cyberbullying,other_cyberbullying,"The tweet contains strong profanity and insults directed at Lily Allen, criticizing her video and implying she is not a good representative of feminism, but does not target a protected trait such as religion, age, gender, or ethnicity."
"Well lol, I'm not THAT old. So it was already a well established fact at that point...if anything, it's very much been eroded as a right in the past 10-15 years or so. So I had no memory of it not being available. But I knew that a lot of older Black folks were actually opposed.",ethnicity,other_cyberbullying,"The tweet contains a neutral discussion about age and a specific racial group, but it does not contain any bullying or harassing language."
"rape is not a joke, neither is suicide, gay is not an insult, and the ""R word"" should not be used under any circumstance. got it? good.",gender,other_cyberbullying,"The tweet is addressing general issues of respect and sensitivity, but its tone is stern and warning, implying that the reader is likely to be ignorant or insensitive."
Being called racial slurs is better than having your stuff stolen and vandalized all the time and being knocked around and hit and tripped constantly. The school would even fine my parents for “lost” textbooks even though said books were stolen or destroyed by bullies.,age,other_cyberbullying,"The tweet describes a pattern of physical and material harm inflicted by bullies, but does not target a specific protected trait or group."
"RT @guiltyx: ""@JillPantozzi: Please report this: https://t.co/IZmfm1cqQc"" Abuse of @Twitter API and privacy hack, @support @freebsdgirl @Th…",not_cyberbullying,other_cyberbullying,"The tweet reports abuse and a privacy hack, indicating a harmful intent to expose or harm the Twitter user's account."
".@ArchSuriel ""I hope nobody notices my rape joke and gay joke that I made in the past week before I change my avatar to the red equal sign""",gender,other_cyberbullying,"The tweet contains explicit and derogatory language, including a rape joke and a gay joke, indicating a high level of harmful intent, but it does not target a specific protected trait or group."
@BRIGHTPRIMATE @ChrisWarcraft give it time.❤️,other_cyberbullying,not_cyberbullying,"The tweet is a neutral, friendly response with no apparent intent to harm or bully."
@AdoreZoey: How u gone bring ur side bitch to a game where You know Ya gf friends at ?! 😩😩😩😩 I SWEAR!!!!!,gender,other_cyberbullying,"The tweet contains aggressive language and insults, targeting a person's personal relationships and behavior, but does not specifically reference a protected trait."
@PolitiBunny @crash_matrix @dsmyxe @AaronWorthing nope. didn't have you blocked. but thanks for letting me know that i should. :),other_cyberbullying,not_cyberbullying,"The tweet is a response to a suggestion to block users, with a neutral tone and no apparent harm or insult."
"okay so for context, lisa is a friend of mine who sorta gets bullied by some other girls cuz ""ShE's KoREaN"", ""xi jingpin xDDdDDDDDd"" and ""hAahahahaHaa weeb lolololl why is ur voice so high lmaooooooooo"", like bruh ur 17 or 16 the fuck is wrong w u",age,other_cyberbullying,"The tweet contains multiple insults and mocking comments targeting Lisa's perceived ethnicity and age, as well as her voice, with no redeeming or neutral content."
"The original issue was the damn people in the video coughing like idiots, but everyone chose to focus on me requesting to not be lumped in with those morons. I would never lump “all muslims” in with osama bin laden...its the same damn thing and you’re not seeing that.",religion,other_cyberbullying,"The tweet contains derogatory language and insults towards a group of people in a video, but the target is not a specific protected trait, rather a general behavior."
"I don't get homophobic Christians voting for Duterte. They be like, ""Boo gay people! Yey misogynistic killer who jokes about rape!"" dafuq",gender,other_cyberbullying,"The tweet targets a specific group for their perceived hypocrisy and contradictory views on LGBTQ+ issues and misogyny, using strong language and sarcasm."
"Do you not understand Vaush is arguing and making an issue a thing he doesn’t understand. He bullied the girl he debated in a stream days later, he made a comment about “is it bad optics to ban black people” and he unintentionally argues for white supremacy",age,other_cyberbullying,"The tweet accuses Vaush of bullying and making racist comments, indicating a harmful intent towards him."
"RT @_stux_: generally by the people who are smart enough to at least realise saying ""feminazi"" makes you look like a fucking prick to anyon…",other_cyberbullying,gender,The tweet uses a derogatory term 'feminazi' to insult a group of people based on their gender and political views.
